CARB Facility DataLogger,35,1(min)
Date,Time,Cell1.AC200V_Phi3_Ch1_Current_U,Cell1.AC200V_Phi3_Ch1_Current_V,Cell1.AC200V_Phi3_Ch1_Current_W,Cell1.AC200V_Phi3_Ch1_Power,Cell1.AC200V_Phi3_Ch2_Current_U,Cell1.AC200V_Phi3_Ch2_Current_V,Cell1.AC200V_Phi3_Ch2_Current_W,Cell1.AC200V_Phi3_Ch2_Power,Cell1.AC200V_Phi3_Voltage_U,Cell1.AC200V_Phi3_Voltage_V,Cell1.AC200V_Phi3_Voltage_W,Cell1.AC400V_Phi3_Ch1_Current_U,Cell1.AC400V_Phi3_Ch1_Current_V,Cell1.AC400V_Phi3_Ch1_Current_W,Cell1.AC400V_Phi3_Ch1_Power,Cell1.AC400V_Phi3_Ch2_Current_U,Cell1.AC400V_Phi3_Ch2_Current_V,Cell1.AC400V_Phi3_Ch2_Current_W,Cell1.AC400V_Phi3_Ch2_Power,Cell1.AC400V_Phi3_Voltage_U,Cell1.AC400V_Phi3_Voltage_V,Cell1.AC400V_Phi3_Voltage_W,Cell1.VETS_MonitorSystemState,Cell1.VETS_MonitorTestType,Cell1.VETS_MonitorVehicleManufacturer,Cell1.VETS_MonitorVehicleType,Cell1.VETS_MonitorDynoActive,Cell1.VETS_MonitorDynoSpeed,Cell1.VETS_MonitorTestCellTemperature,Cell1.VETS_MonitorTestCellHumidity,Cell1.VETS_MonitorTestCellPressure,Cell1.VETS_MonitorNumberOfActiveErrors,Cell1.VETS_MonitorTestID,Cell1.VETS_MonitorTestState,Cell1.VETS_MonitorDriverID
Comment,,AC200 Ch1 Current U,AC200V Ch1 Current V,AC200V Ch1 Current W,AC200V Ch1 Power,AC200V Ch2 Current U,AC200V Ch2 Current V,AC200V Ch2 Current W,AC200V Ch2 Power,AC200V Voltage U,AC200V Voltage V,AC200V Voltage W,AC400V Ch1 Current U,AC400V Ch1 Current V,AC400V Ch1 Current W,AC400V Ch1 Power,AC400V Ch2 Current U,AC400V Ch2 Current V,AC400V Ch2 Current W,AC400V Ch2 Power,AC400V Voltage U,AC400V Voltage V,AV400 Voltage W,System State,Test Type,Vehicle Manufacturer,Vehicle Type,Dyno Active,Dyno Speed,TestCell Temperature,TestCell Humidity,TestCell ressure,Number of Active Errors,Test ID,Test State,Driver ID
Unit,,A,A,A,kW,A,A,A,kW,V,V,V,A,A,A,kW,A,A,A,kW,V,V,V,,,,,,km/h,degC,%,kPa,,,,
4/10/2018,16:33:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:34:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:35:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:36:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:37:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:38:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:39:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:40:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:41:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:42:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:43:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:44:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:45:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:46:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:47:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:48:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:49:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:50:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:51:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:52:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:53:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:54:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:55:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:56:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:57:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:58:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,16:59:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,17:00:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,17:01:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,17:02:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,17:03:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
4/10/2018,17:04:13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,FALSE,0,0,0,0,0,0,0,0
